country,patent_count,pct_share
US,54859,41.32
JP,37455,28.21
DE,12883,9.7
KR,6679,5.03
FR,5315,4.0
GB,3864,2.91
CN,2525,1.9
CA,1908,1.44
SE,1543,1.16
IT,976,0.74
CH,757,0.57
TW,520,0.39
AT,518,0.39
NL,346,0.26
AU,283,0.21
BE,278,0.21
FI,249,0.19
IL,230,0.17
IE,196,0.15
DK,150,0.11
SA,120,0.09
NO,114,0.09
NZ,99,0.07
ES,87,0.07
SG,81,0.06
GI,79,0.06
LU,73,0.05
IN,72,0.05
BR,64,0.05
BB,57,0.04
